Generation,Score
0,27.905876
1,27.638474
2,26.881897
3,26.830803
4,26.830803
5,26.898104
6,26.898104
7,26.898104
8,26.898104
9,26.898104
10,26.898104
11,26.898104
12,27.299463
13,27.538527
14,27.538527
15,27.538527
16,27.299463
17,27.299463
18,27.299463
19,27.538527
20,27.538527
21,27.538527
22,27.538527
23,27.538527
24,27.538527
25,27.538527
26,27.538527
27,27.538527
28,27.538527
29,27.538527
30,27.538527
31,27.538527
32,27.538527
33,27.538527
34,27.538527
35,27.538527
36,27.538527
37,27.538527
38,27.538527
39,27.538527
40,27.538527
41,27.538527
42,27.538527
43,27.538527
44,27.538527
45,27.538527
46,27.538527
47,27.538527
48,27.538527
49,27.538527
50,27.538527
51,27.538527
52,27.538527
53,27.538527
54,27.538527
55,27.538527
56,27.538527
57,27.538527
58,27.538527
59,27.538527
60,27.538527
61,27.538527
62,27.538527
63,27.538527
64,27.538527
65,27.538527
66,27.538527
67,27.538527
68,27.538527
69,27.538527
70,27.538527
71,27.538527
72,27.538527
73,27.538527
74,27.538527
75,27.538527
76,27.538527
77,27.538527
78,27.538527
79,27.538527
80,27.538527
81,27.538527
82,27.538527
83,27.538527
84,27.538527
85,27.538527
86,27.538527
87,27.538527
88,27.538527
89,27.538527
90,27.538527
91,27.538527
92,27.538527
93,27.538527
94,27.538527
95,27.538527
96,27.538527
97,27.538527
98,27.538527
99,27.538527
